id,name,type,acidity,fizziness,intensity,sweetness,tannin,flavor1,flavor2,flavor3,flavor4,flavor5,average_rating,price_amount,price_currency,review_count,food_ids,food_names
1619759,Margaux,Margaux,4.1829824,,3.7823114,1.4505836,3.9674513,leather,oak,cassis,plum,tobacco,4,84.7699678272913,USD,4866,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1386686,Ribera del Duero,Ribera Del Duero Red,3.7227302,,3.898362,1.729622,3.4798968,oak,vanilla,blackberry,cherry,leather,4.1,52.57271762715441,USD,74171,4; 8; 11,"Beef; Lamb; Game (deer, venison)"
2160185,Saint-Émilion Grand Cru,Saint-Émilion,3.3431704,,4.2637596,1.3987895,3.3752396,blackberry,oak,plum,earthy,tobacco,4,58.68690080350936,USD,4031,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1724275,Southern Hills Cabernet Sauvignon,Cabernet Sauvignon,3.011596,,4.7294493,1.6359693,3.3589265,oak,plum,cherry,vanilla,black cherry,3.9,28.357405265556018,USD,24212,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
2469,Cabernet Sauvignon,Cabernet Sauvignon,3.0442402,,4.0093827,1.7774037,3.5335226,oak,leather,tobacco,blackcurrant,vanilla,4,21.984954644082755,USD,3797,4; 8; 20,Beef; Lamb; Poultry
3296752,Late Harvest,N/A,,,,,,honey,apricot,peach,pear,citrus,4,39.50919385313423,USD,3788,N/A,N/A
14362,Pauillac (Grand Cru Classé),Pauillac,4.1969223,,4.218146,1.6734961,4.224893,leather,cassis,oak,blackberry,tobacco,4.4,241.26836996998293,USD,50956,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1684223,Pauillac (Premier Grand Cru Classé),Pauillac,4.088399,,4.0564137,1.7137163,4.1104217,leather,tobacco,oak,cassis,cedar,4.6,586.8690080350935,USD,78338,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
5177761,Castillo Ygay Gran Reserva Especial Blanco,Rioja White,3.1875696,,4.2088947,1.8546718,,oak,vanilla,honey,caramel,smoke,4.6,50.979604971786095,USD,2776,13; 27; 28; 41,Shellfish; Appetizers and snacks; Lean fish; Cured Meat
22447,Bolgheri Superiore,Bolgheri,3.4579544,,3.8770778,1.7903501,3.8892126,oak,tobacco,leather,blackberry,chocolate,4.6,293.4345040175468,USD,50902,4; 5; 8; 9; 11,"Beef; Pasta; Lamb; Veal; Game (deer, venison)"
88180,Gevrey-Chambertin 1er Cru 'Clos St Jacques',Côte de Nuits Red,4.2007904,,2.9812858,1.9058585,2.5491698,cherry,earthy,strawberry,leather,red fruit,4.6,3390.7987130916517,USD,2640,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
9712,Tenuta Nuova Brunello di Montalcino,Brunello,3.816864,,3.3766453,1.7894069,3.596841,leather,cherry,oak,tobacco,plum,4.5,293.4345040175468,USD,22166,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1099912,Chateauneuf-du-Pape Réserve des Célestins,Châteauneuf-du-Pape Red,3.1308274,,4.4895754,2.014615,3.0171428,leather,plum,oak,cherry,licorice,4.6,1949.7092600276999,USD,1766,8; 10; 20,Lamb; Pork; Poultry
88181,Ruchottes-Chambertin Grand Cru Clos des Ruchottes,Côte de Nuits Red,4.0776024,,3.0465226,1.7199028,2.5226512,cherry,strawberry,oak,leather,earthy,4.6,997.677313659659,USD,1634,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
25474,Aconcagua Valley,Bordeaux Blend,3.1261244,,4.5468545,1.9080191,3.5520735,oak,blackberry,tobacco,blackcurrant,chocolate,4.5,129.04212508483357,USD,20163,4; 5; 9; 20,Beef; Pasta; Veal; Poultry
1622488,Bonnes-Mares Grand Cru,Côte de Nuits Red,4.157978,,3.1361501,2.0999331,2.746277,leather,cherry,strawberry,minerals,black fruit,4.6,2347.476032140374,USD,1499,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1125543,Pauillac (Grand Cru Classé),Pauillac,4.149271,,4.052287,1.5931269,4.0930333,leather,tobacco,oak,cedar,blackcurrant,4.4,273.87220374971037,USD,42010,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1136930,Grange,Cabernet - Shiraz,3.0480897,,4.703207,2.1058216,3.238468,oak,blackberry,vanilla,leather,chocolate,4.7,495.5782734518568,USD,25743,4; 8; 20,Beef; Lamb; Poultry
9220,Grand Vin de Château Palmer (Grand Cru Classé),Margaux,4.1381555,,3.7429087,1.6978934,3.792752,leather,tobacco,oak,cedar,cassis,4.5,391.24600535672903,USD,30627,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1152755,Pessac-Léognan (Premier Grand Cru Classé),Pessac-Léognan,4.221047,,4.0786223,1.6721234,4.2313185,leather,tobacco,smoke,cedar,earthy,4.6,489.05750669591134,USD,41975,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1137844,Richebourg Grand Cru,Côte de Nuits Red,4.2332187,,3.0848186,1.9840993,2.5854323,raspberry,cherry,earthy,minerals,oak,4.6,984.6357801477682,USD,1012,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
74304,Cristal Brut Champagne (Millésimé),Champagne,4.40865,4.2747016,3.9005203,,,citrus,brioche,apple,honey,cream,4.6,423.84983913645647,USD,45265,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
1558589,Brunello di Montalcino,Brunello,3.8185067,,3.1492975,1.5990148,3.6086307,leather,cherry,tobacco,earthy,oak,4.5,189.10223592241906,USD,29086,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1880987,Puligny-Montrachet Les Enseignères,Côte de Beaune White,3.5176249,,3.7180893,1.8629557,,citrus,butter,minerals,oak,lemon,4.6,1688.8785897898804,USD,1004,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
3908,Pauillac (Premier Grand Cru Classé),Pauillac,4.106587,,3.9795089,1.6772138,4.1040926,leather,tobacco,cedar,oak,cassis,4.6,762.9297104456217,USD,41650,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
779852,Vin de Pays de l'Hérault,Red,3.6954226,,3.8821943,1.8130156,3.4790678,leather,black fruit,oak,earthy,plum,4.5,423.84983913645647,USD,9465,4; 5; 9,Beef; Pasta; Veal
1099253,Vosne-Romanée 1er Cru Cros Parantoux,Côte de Nuits Red,3.959836,,3.1931713,2.3444192,2.6125648,minerals,leather,black fruit,oak,black cherry,4.6,3390.7987130916517,USD,896,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1290765,Corton-Charlemagne Grand Cru,Côte de Beaune White,3.3793967,,3.867149,1.7642787,,minerals,oak,butter,citrus,stone,4.6,749.8881769337307,USD,786,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
16529,Musigny Grand Cru,Côte de Nuits Red,4.2852907,,3.077316,2.05622,2.797809,oak,leather,earthy,blackberry,vanilla,4.6,912.9073458323678,USD,785,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
3127311,Barolo Cerretta,Barolo,4.3315344,,3.8145247,1.7531995,4.2966647,truffle,leather,cherry,red fruit,mint,4.6,267.3514369937649,USD,776,4; 5; 8; 11,"Beef; Pasta; Lamb; Game (deer, venison)"
1179539,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion,3.3861995,,4.18912,1.8696706,3.528436,oak,leather,tobacco,blackberry,chocolate,4.5,339.0798713091652,USD,16869,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1911534,Opus One,Cabernet Sauvignon,3.8105776,,4.6270576,1.6571413,3.350588,oak,blackberry,chocolate,leather,tobacco,4.6,469.4952064280749,USD,81830,4; 8; 11; 17; 20,"Beef; Lamb; Game (deer, venison); Mature and hard cheese; Poultry"
1098981,Pomerol,Pomerol,3.3693147,,4.096759,1.8001953,3.4647996,leather,oak,plum,tobacco,chocolate,4.5,312.99680428538323,USD,13141,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1655970,Grand Vin Pauillac (Premier Grand Cru Classé),Pauillac,4.1293993,,4.1236277,1.6739917,4.135337,leather,tobacco,oak,cedar,cassis,4.6,652.0766755945484,USD,40969,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1100910,Vosne-Romanée Premier Cru Aux Reignots,Côte de Nuits Red,4.0444226,,3.0862167,1.9545181,2.5507584,minerals,plum,smoke,cherry,perfume,4.6,3364.71564606787,USD,670,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
18323,Altura,Bordeaux Blend,3.0976593,,4.331054,1.7547947,3.434195,oak,blackberry,tobacco,vanilla,plum,4.5,165.6837161583048,USD,2905,4; 5; 9; 20,Beef; Pasta; Veal; Poultry
2078055,Chablis Grand Cru 'Clos',Chablis,3.9705272,,3.2380834,1.8027732,,minerals,citrus,honey,lemon,stone,4.6,2849.5750723481765,USD,645,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
1404040,Richebourg Grand Cru,Côte de Nuits Red,4.0971785,,3.1163068,1.8392503,2.7244725,oak,leather,smoke,violet,red fruit,4.6,2934.345040175468,USD,536,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1126964,Termanthia,Toro Red,2.6602442,,4.4238486,1.7336138,3.3157253,oak,vanilla,blackberry,chocolate,leather,4.6,182.58146916647357,USD,5674,4; 8; 11,"Beef; Lamb; Game (deer, venison)"
1167289,Echezeaux Grand Cru,Côte de Nuits Red,4.0220494,,2.9564443,1.8205966,2.4466393,raspberry,red fruit,strawberry,minerals,smoke,4.6,4629.744396721294,USD,522,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1166837,Pomerol,Pomerol,3.3758266,,4.128785,1.9725492,3.4468048,leather,chocolate,plum,tobacco,earthy,4.7,5542.651742553661,USD,33631,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
81848,Saint-Julien (Grand Cru Classé),Saint-Julien,4.1822767,,3.782709,1.6334257,3.8688986,leather,tobacco,cassis,oak,cedar,4.4,241.26836996998293,USD,29910,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
2149689,Bonnes-Mares Grand Cru,Côte de Nuits Red,4.141611,,3.180062,1.9184964,2.8394516,earthy,mushroom,oak,leather,red fruit,4.6,1206.3418498499145,USD,488,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
100675,Chambolle-Musigny Premier Cru Les Amoureuses,Côte de Nuits Red,4.0656295,,2.759932,1.7848879,2.420299,cherry,raspberry,strawberry,oak,red fruit,4.6,3586.4217157700164,USD,468,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
16587,Insignia,Cabernet Sauvignon,3.8134146,,4.7562532,1.742951,3.486742,oak,blackberry,chocolate,vanilla,tobacco,4.6,293.13272858777003,USD,32325,4; 8; 11; 17; 20,"Beef; Lamb; Game (deer, venison); Mature and hard cheese; Poultry"
85904,Meursault Blanc,Côte de Beaune White,3.3818424,,3.8179262,1.7004471,,minerals,citrus,butter,oak,lemon,4.6,1088.968048242896,USD,4454,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
1386095,Red,Cabernet Sauvignon,3.5669727,,4.7023597,1.7872818,3.491347,blackberry,oak,blackcurrant,vanilla,leather,4.6,286.9137372616013,USD,3868,4; 8; 11; 17; 20,"Beef; Lamb; Game (deer, venison); Mature and hard cheese; Poultry"
99982,Vosne-Romanée 'Les Genaivrières',Côte de Nuits Red,4.0123086,,2.7745254,2.2103999,2.5041168,smoke,strawberry,leather,earthy,cherry,4.6,4303.70605892402,USD,402,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
10175,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion,3.3809125,,4.194874,1.7937895,3.526945,leather,tobacco,blackberry,oak,plum,4.6,365.16293833294714,USD,24264,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1649800,Premiere Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,3.3141108,,4.743439,1.5490938,3.3648489,blackberry,vanilla,cedar,oak,tobacco,4.6,57.35205559325936,USD,386,4; 8; 11; 17; 20,"Beef; Lamb; Game (deer, venison); Mature and hard cheese; Poultry"
81849,Pomerol,Pomerol,3.387585,,4.116987,1.6751281,3.4297023,leather,oak,tobacco,earthy,plum,4.4,378.2044718448381,USD,11011,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
2037555,Cabernet Sauvignon,Cabernet Sauvignon,3.35926,,4.6224494,1.685905,3.4082072,oak,blackberry,leather,chocolate,dark fruit,4.5,286.9137372616013,USD,5857,4; 8; 11; 17; 20,"Beef; Lamb; Game (deer, venison); Mature and hard cheese; Poultry"
1168676,Les Forts de Latour Pauillac,Pauillac,4.160969,,4.1805835,1.6523844,4.0895753,leather,cassis,tobacco,blackcurrant,cedar,4.4,215.18530294620098,USD,12941,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
80363,Astralis,Shiraz,3.1050215,,4.655006,2.2041183,3.2634857,blackberry,oak,chocolate,plum,leather,4.5,332.5591045532197,USD,3575,4; 8; 11,"Beef; Lamb; Game (deer, venison)"
1392268,Labels Syrah,Syrah,3.1078584,,4.2660513,1.8820826,3.4843812,oak,blackberry,pepper,tobacco,blackcurrant,4.6,573.8274745232026,USD,349,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1218210,Red,Bordeaux Blend,3.8403869,,4.686834,1.8964596,3.595526,oak,blackberry,tobacco,blackcurrant,vanilla,4.7,2217.0606970214644,USD,7691,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
79631,Vintage,Champagne,4.5083575,4.362719,4.165242,,,brioche,citrus,honey,apple,toast,4.6,2086.645361902555,USD,17764,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
23793,Carruades de Lafite Pauillac,Pauillac,4.1106725,,4.167619,1.616723,4.0206885,leather,tobacco,oak,blackcurrant,earthy,4.4,319.5175710413287,USD,14554,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1108737,Pomerol,Pomerol,3.3742337,,4.138446,1.6873487,3.4686093,leather,tobacco,blackberry,plum,chocolate,4.5,286.9137372616013,USD,10380,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
36434,Côte-Rôtie La Mouline,Côte-Rotie,3.8737652,,3.9644141,1.7120907,3.8723526,leather,oak,blackberry,pepper,smoke,4.6,312.99680428538323,USD,4734,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1523545,Montrachet Grand Cru,Côte de Beaune White,3.279179,,3.7995071,2.0724633,,butter,minerals,caramel,lemon,almond,4.6,1297.6325844331514,USD,290,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
1701699,Ruchottes-Chambertin Grand Cru,Côte de Nuits Red,4.189463,,3.1967041,1.916324,2.6944697,leather,black cherry,oak,minerals,earthy,4.6,1297.6325844331514,USD,289,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
20644,Ermitage Le Pavillon,Hermitage,3.4617891,,4.6353345,1.6391433,4.0563445,leather,blackberry,pepper,smoke,oak,4.5,345.6006380651107,USD,3865,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1186486,Chambertin Grand Cru,Côte de Nuits Red,4.101834,,3.4258256,2.105917,2.7089338,earthy,cherry,black cherry,leather,mushroom,4.6,1630.191688986371,USD,281,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1651,Tenuta Tignanello 'Solaia',Red,3.0676773,,3.4581099,1.8908933,2.9727688,leather,oak,blackberry,tobacco,chocolate,4.6,391.24600535672903,USD,35114,4; 8; 9; 20; 41,Beef; Lamb; Veal; Poultry; Cured Meat
77339,Barolo,Barolo,4.564716,,3.6529331,1.6683208,4.37906,tar,leather,cherry,red fruit,earthy,4.4,495.5782734518568,USD,5588,4; 5; 8; 11,"Beef; Pasta; Lamb; Game (deer, venison)"
1152417,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion,3.4123573,,4.079803,1.8519468,3.501554,leather,tobacco,blackberry,plum,oak,4.6,586.8690080350935,USD,7058,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
7294401,Clos de Tart Grand Cru,Côte de Nuits Red,4.0798974,,3.0348845,1.9683546,2.9205656,oak,tobacco,strawberry,blueberry,red cherry,4.6,619.472841814821,USD,240,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1214547,Chablis Premier Cru 'Montée de Tonnerre',Chablis,3.9294176,,3.152031,1.657538,,minerals,citrus,oak,butter,honey,4.5,1434.5686863080066,USD,3755,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
1127795,Château Margaux (Premier Grand Cru Classé),Margaux,4.163025,,3.6745572,1.6070596,3.8239775,leather,tobacco,oak,cassis,earthy,4.6,1421.5271527961156,USD,47965,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
84911,Chevalier-Montrachet Grand Cru,Côte de Beaune White,3.2569604,,3.775806,2.0031474,,minerals,honey,butter,citrus,oak,4.6,1499.7763538674615,USD,2457,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
4978718,Brunate Barolo,Barolo,4.524953,,3.700612,1.8389491,4.254279,cherry,tobacco,forest floor,leather,strawberry,4.5,423.84983913645647,USD,1253,4; 5; 8; 11,"Beef; Pasta; Lamb; Game (deer, venison)"
1196505,Chablis Premier Cru 'Butteaux',Chablis,3.916575,,3.170295,1.7140647,,minerals,citrus,lemon,butter,honey,4.5,476.01597318402037,USD,3166,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
3506888,Tre Tine Barolo,Barolo,4.576096,,3.6047227,1.628276,4.3639507,leather,raspberry,cherry,red fruit,strawberry,4.5,339.0798713091652,USD,1687,4; 5; 8; 11,"Beef; Pasta; Lamb; Game (deer, venison)"
1198994,Chablis Grand Cru 'Valmur',Chablis,3.874924,,3.2063565,1.6186291,,minerals,butter,citrus,honey,lemon,4.5,906.3865790764223,USD,1770,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
5197411,Luis Pereira,Cabernet Sauvignon,2.6803,,4.079618,1.7616371,2.5707095,leather,plum,mint,blackberry,vanilla,4.3,152.93881491535828,USD,496,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
83917,Échezeaux Grand Cru,Côte de Nuits Red,4.1163225,,3.024807,1.9900923,2.6009653,cherry,leather,raspberry,strawberry,smoke,4.7,4290.664525412129,USD,5516,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
66184,Conteisa Langhe,Nebbiolo,3.4473484,,3.816356,1.9096693,3.577157,oak,cherry,tar,tobacco,leather,4.5,449.9329061602384,USD,2392,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1172691,Châteauneuf-du-Pape Deus Ex Machina,Châteauneuf-du-Pape Red,3.0332599,,4.742396,2.224109,2.98496,licorice,leather,tobacco,oak,blackberry,4.5,358.64217157700165,USD,1822,8; 10; 20,Lamb; Pork; Poultry
7494,Torre Muga,Rioja Red,3.777655,,3.9809182,1.7530212,3.9113855,oak,leather,vanilla,tobacco,blackberry,4.4,86.02808338988903,USD,9366,4; 8; 9; 20,Beef; Lamb; Veal; Poultry
1549415,Aszú 6 puttonyos,Tokaji Aszú,4.883195,,3.1912048,4.9112535,,honey,apricot,peach,orange,marmalade,4.5,82.52323554807874,USD,2650,16; 38,Sweet desserts; Blue cheese
4854735,Chevalier Montrachet Grand Cru,Côte de Beaune White,3.2913046,,4.1267242,1.7571275,,minerals,citrus,oak,butter,toast,4.6,1760.6070241052807,USD,133,5; 12; 13; 35; 41,"Pasta; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese; Cured Meat"
4139613,Vin de Pays de l'Hérault Blanc,White,3.067902,,3.6218019,1.9192414,,oak,butter,honey,peach,smoke,4.6,410.8083056245655,USD,1350,5; 19; 20; 28; 40,Pasta; Vegetarian; Poultry; Lean fish; Aperitif
36404,Côte-Rôtie La Landonne,Côte-Rotie,3.899136,,4.276274,1.6985352,4.1313205,leather,pepper,oak,smoke,black fruit,4.6,599.9105415469845,USD,4383,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1099373,Pomerol,Pomerol,3.433959,,4.225677,1.7765032,3.566475,leather,tobacco,oak,plum,earthy,4.4,449.9329061602384,USD,3745,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
83920,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Côte de Nuits Red,4.101548,,3.0242023,1.9139897,2.5870879,strawberry,leather,cherry,oak,raspberry,4.7,4303.70605892402,USD,6997,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
88182,Charmes-Chambertin Grand Cru,Côte de Nuits Red,3.9515908,,2.9234014,1.8030151,2.5616734,cherry,red fruit,earthy,strawberry,oak,4.5,945.5111796120952,USD,2132,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
7495,Aro,Rioja Red,3.8123157,,4.019656,1.8291581,3.916035,oak,blackberry,vanilla,leather,smoke,4.4,175.2423920905147,USD,2618,4; 8; 9; 20,Beef; Lamb; Veal; Poultry
83444,Bonnes-Mares Grand Cru,Côte de Nuits Red,4.170123,,3.2182262,1.9247198,2.8018987,leather,earthy,blueberry,cherry,minerals,4.5,886.8242788085859,USD,2768,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
2716528,Le Petit Mouton de Mouton Rothschild Pauillac,Pauillac,4.150785,,4.150941,1.668715,4.156061,oak,leather,cherry,plum,cassis,4.4,299.95527077349226,USD,8700,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
77453,Barolo Riserva Villero,Barolo,4.675623,,3.9597318,1.8169546,4.5972867,leather,tar,oak,cherry,mint,4.6,854.2204450288584,USD,845,4; 5; 8; 11,"Beef; Pasta; Lamb; Game (deer, venison)"
1148747,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion,3.3579752,,3.986432,1.7397487,3.4246278,leather,tobacco,oak,plum,chocolate,4.6,710.7635763980578,USD,29987,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1197490,Pomerol,Pomerol,3.401561,,4.1267343,1.9151576,3.2843032,chocolate,oak,plum,tobacco,cherry,4.7,2934.345040175468,USD,2349,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1098770,Pomerol,Pomerol,3.40078,,4.1527214,1.6863307,3.5425425,leather,oak,chocolate,tobacco,plum,4.4,319.5175710413287,USD,7658,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1563086,Gran Buig Priorat,Priorat Red,3.7094045,,4.414107,1.3689655,3.4454544,oak,black cherry,minerals,chocolate,licorice,4.6,293.4345040175468,USD,130,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1167825,La Colombiere Vosne-Romanée,Côte de Nuits Red,4.1306777,,2.8262887,1.8694303,2.5314448,strawberry,red fruit,cherry,oak,minerals,4.5,1401.9648525282792,USD,1070,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1286354,Grands-Échezeaux Grand Cru,Côte de Nuits Red,4.0508585,,2.9743013,2.0151901,2.5500517,leather,strawberry,raspberry,cherry,oak,4.7,4042.8753886862,USD,6458,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1179603,La Dame de Montrose Saint-Estèphe,Saint-Estèphe,4.1070175,,4.2697525,1.5128361,4.2954803,oak,leather,blackberry,cassis,tobacco,4,202.14376943431,USD,14110,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1389365,Grands-Échézeaux Grand Cru,Côte de Nuits Red,4.1205053,,2.967119,1.9121116,2.7343214,red cherry,leather,red fruit,strawberry,cherry,4.5,3260.383377972742,USD,461,4; 9; 11; 20,"Beef; Veal; Game (deer, venison); Poultry"
1473611,Côte-Rôtie La Turque,Côte-Rotie,3.8768525,,4.097553,1.7100371,3.9585254,oak,blackberry,pepper,smoke,vanilla,4.6,410.8083056245655,USD,5275,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
82698,Brunello di Montalcino Riserva,Brunello,3.8305378,,3.1571712,1.6542435,3.600167,leather,cherry,tobacco,mushroom,oak,4.6,652.0766755945484,USD,3570,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
809810,Gigondas Hominis Fides,Red,3.5143867,,3.873643,1.5885205,3.4109814,earthy,leather,smoke,blackberry,oak,4.3,417.329072380511,USD,806,4; 8; 11,"Beef; Lamb; Game (deer, venison)"
